COUNTRY,YEAR,PC_DEP
DNK,2017,11.345
DNK,2018,22.704
DNK,2019,38.698
DNK,2020,44.856
ESP,1990,62.728
ESP,1991,63.286
ESP,1992,66.213
ESP,1993,65.318
ESP,1994,67.598
ESP,1995,71.893
ESP,1996,70.628
ESP,1997,71.517
ESP,1998,74.514
ESP,1999,76.749
ESP,2000,76.797
ESP,2001,74.797
ESP,2002,78.642
ESP,2003,76.738
ESP,2004,77.652
ESP,2005,81.534
ESP,2006,81.505
ESP,2007,79.56
ESP,2008,81.605
ESP,2009,79.549
ESP,2010,77.003
ESP,2011,76.012
ESP,2012,72.798
ESP,2013,69.997
ESP,2014,72.557
ESP,2015,72.741
ESP,2016,71.486
ESP,2017,73.886
ESP,2018,73.613
ESP,2019,75.032
ESP,2020,67.89
EST,1990,41
EST,1991,38.896
EST,1992,35.564
EST,1993,36.799
EST,1994,34.485
EST,1995,32.967
EST,1996,30.356
EST,1997,30.431
EST,1998,37.701
EST,1999,35.152
EST,2000,33.984
EST,2001,33.74
EST,2002,32.106
EST,2003,29.768
EST,2004,30.108
EST,2005,26.879
EST,2006,30.031
EST,2007,24.291
EST,2008,27.215
EST,2009,27.171
EST,2010,14.68
EST,2011,13.646
EST,2012,20.647
EST,2013,14.522
EST,2014,11.562
EST,2015,11.181
EST,2016,8.069
EST,2017,4.584
EST,2018,1.229
EST,2019,4.838
EST,2020,10.502
FIN,1990,61.017
FIN,1991,56.795
FIN,1992,55.683
FIN,1993,55.897
FIN,1994,65.815
FIN,1995,53.45
FIN,1996,54.854
FIN,1997,56.031
FIN,1998,53.237
FIN,1999,50.675
FIN,2000,55.475
FIN,2001,55.337
FIN,2002,52.36
FIN,2003,59.095
FIN,2004,54.731
FIN,2005,54.459
FIN,2006,54.073
FIN,2007,53.32
FIN,2008,54.483
FIN,2009,54.803
FIN,2010,48.859
FIN,2011,53.914
FIN,2012,47.109
FIN,2013,49.662
FIN,2014,49.935
FIN,2015,47.947
FIN,2016,46.166
FIN,2017,43.941
FIN,2018,44.816
FIN,2019,42.112
FIN,2020,42.032
FRA,1990,52.174
FRA,1991,52.248
